t_k_s,t_kp1_s,phase_kp1,e_h_x_Nms,e_h_y_Nms,e_h_z_Nms,e_h_inf_Nms,nmpc_active
0.010000,0.020000,DS_interstep,-1.041759e-11,1.385347e-11,-2.184461e-10,2.184461e-10,0
0.020000,0.030000,DS_interstep,-7.466420e-12,8.532481e-12,-1.366944e-10,1.366944e-10,0
0.030000,0.040000,DS_interstep,-5.585984e-12,7.832998e-12,-8.306301e-11,8.306301e-11,0
0.040000,0.050000,DS_interstep,-1.961336e-12,4.155758e-12,-4.918714e-11,4.918714e-11,0
0.050000,0.060000,DS_interstep,2.493826e-12,1.507378e-12,-2.732160e-11,2.732160e-11,0
0.060000,0.070000,DS_interstep,7.035622e-12,-7.771442e-13,-1.278286e-11,1.278286e-11,0
0.070000,0.080000,DS_interstep,1.095258e-11,-1.878353e-12,-2.575113e-12,1.095258e-11,0
0.080000,0.090000,DS_interstep,1.389961e-11,-2.100045e-12,5.027379e-12,1.389961e-11,0
0.090000,0.100000,DS_interstep,1.573798e-11,-1.300564e-12,1.097996e-11,1.573798e-11,0
0.100000,0.110000,SS,2.109434e-02,-4.168921e-02,2.365000e-02,4.168921e-02,0
0.110000,0.210000,SS,2.461441e-02,-5.880167e-02,2.177248e-02,5.880167e-02,1
0.210000,0.310000,SS,2.284335e-02,-6.333274e-02,2.630175e-02,6.333274e-02,1
0.310000,0.410000,SS,2.779573e-02,-6.679891e-02,2.328388e-02,6.679891e-02,1
0.410000,0.510000,SS,3.132556e-02,-6.573413e-02,2.181592e-02,6.573413e-02,1
0.510000,0.610000,SS,3.538878e-02,-6.130126e-02,2.036656e-02,6.130126e-02,1
0.610000,0.710000,SS,3.892301e-02,-5.454330e-02,1.908850e-02,5.454330e-02,1
0.710000,0.810000,SS,4.175043e-02,-4.640634e-02,1.856941e-02,4.640634e-02,1
0.810000,0.910000,SS,4.297029e-02,-3.793896e-02,1.913619e-02,4.297029e-02,1
0.910000,1.010000,SS,4.194198e-02,-3.014242e-02,2.150224e-02,4.194198e-02,1
1.010000,1.110000,SS,3.803456e-02,-2.353989e-02,2.597372e-02,3.803456e-02,1
1.110000,1.210000,SS,3.110844e-02,-1.841773e-02,3.275308e-02,3.275308e-02,1
1.210000,1.310000,SS,2.136381e-02,-1.478054e-02,4.154310e-02,4.154310e-02,1
1.310000,1.410000,SS,9.350324e-03,-1.251580e-02,5.174806e-02,5.174806e-02,1
1.410000,1.510000,SS,-4.022286e-03,-1.148947e-02,6.256070e-02,6.256070e-02,1
1.510000,1.610000,SS,-1.762349e-02,-1.141299e-02,7.294005e-02,7.294005e-02,1
1.610000,1.710000,SS,-3.058808e-02,-1.205773e-02,8.217308e-02,8.217308e-02,1
1.710000,1.810000,SS,-4.175914e-02,-1.285658e-02,8.936587e-02,8.936587e-02,1
1.810000,1.910000,SS,-5.096071e-02,-1.341788e-02,9.428405e-02,9.428405e-02,1
1.910000,2.010000,SS,-5.735504e-02,-1.302812e-02,9.638399e-02,9.638399e-02,1
2.010000,2.110000,SS,-6.162826e-02,-1.157641e-02,9.599517e-02,9.599517e-02,1
2.110000,2.210000,SS,-6.412414e-02,-9.195808e-03,9.343519e-02,9.343519e-02,1
2.210000,2.310000,SS,-6.447749e-02,-6.267639e-03,8.897560e-02,8.897560e-02,1
2.310000,2.410000,SS,-6.242061e-02,-3.566971e-03,8.290001e-02,8.290001e-02,1
2.410000,2.510000,SS,-5.718051e-02,-8.696519e-04,7.377284e-02,7.377284e-02,1
2.510000,2.610000,SS,-4.750107e-02,5.440435e-03,5.411591e-02,5.411591e-02,1
2.610000,2.710000,SS,-3.660979e-02,7.924384e-03,3.809721e-02,3.809721e-02,1
2.710000,2.810000,SS,-2.313985e-02,4.742794e-03,2.395924e-02,2.395924e-02,1
2.810000,2.910000,SS,-7.802424e-03,-6.007138e-04,1.363101e-02,1.363101e-02,1
2.910000,3.020000,DS_interstep,3.818549e-02,8.311794e-02,-3.614066e-02,8.311794e-02,0
3.020000,3.030000,DS_interstep,3.798736e-02,-5.285088e-02,1.045517e-01,1.045517e-01,0
3.030000,3.040000,DS_interstep,1.093881e-02,-5.748928e-02,6.592100e-02,6.592100e-02,0
3.040000,3.050000,DS_interstep,-3.148955e-03,-4.344466e-02,3.551469e-02,4.344466e-02,0
3.050000,3.060000,DS_interstep,-5.379545e-03,-2.419253e-02,1.618183e-02,2.419253e-02,0
3.060000,3.070000,DS_interstep,-2.954100e-03,-1.979288e-03,2.506885e-03,2.954100e-03,0
3.070000,3.080000,DS_interstep,-5.761319e-04,1.213190e-02,-9.908979e-03,1.213190e-02,0
3.080000,3.090000,DS_interstep,1.569159e-03,2.203603e-02,-2.197564e-02,2.203603e-02,0
3.090000,3.100000,DS_interstep,3.443984e-03,2.930933e-02,-3.333461e-02,3.333461e-02,0
3.100000,3.110000,DS_interstep,5.148549e-03,3.493347e-02,-4.341750e-02,4.341750e-02,0
3.110000,3.120000,DS_interstep,6.790368e-03,3.796614e-02,-4.893167e-02,4.893167e-02,0
3.120000,3.130000,DS_interstep,6.879850e-03,4.029039e-02,-5.435903e-02,5.435903e-02,0
